Player-additional,Player,Tm,Age,Pos,G,Cmp,PassAtt,PassYds,PassTD,Int,RushAtt,RushYds,RushTD,RushFmb,Rec,RecYds,RecTD,RecFmb,2PM,Score
CappBo00,Bob Cappadona,BOS,24,RB,14,0.0,0.0,0.0,0.0,0.0,22.0,88.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16.8
ShyxLe00,Les Shy,DAL,22,RB,11,0.0,0.0,0.0,0.0,0.0,17.0,118.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,15.8
JoseLe00,Les Josephson,RAM,24,RB,14,0.0,0.0,0.0,0.0,0.0,14.0,97.0,0.0,1.0,2.0,10.0,1.0,1.0,0.0,15.7
SmitAl00,Allen Smith,BUF,24,RB,14,0.0,0.0,0.0,0.0,0.0,31.0,148.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,15.4
GarrWa00,Walt Garrison,DAL,22,RB,14,0.0,0.0,0.0,0.0,0.0,16.0,62.0,1.0,0.0,2.0,18.0,0.0,0.0,0.0,15.0
BellJo00,Joe Bellino,BOS,28,RB,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,77.0,1.0,1.0,0.0,14.7
KingPh00,Phil King,MIN,30,RB,14,1.0,1.0,9.0,0.0,0.0,17.0,40.0,0.0,0.0,2.0,24.0,1.0,0.0,0.0,13.76
PricSa00,Sammy Price,MIA,23,RB,14,0.0,0.0,0.0,0.0,0.0,31.0,107.0,0.0,0.0,2.0,14.0,0.0,0.0,0.0,13.1
LestDa00,Darrell Lester,DEN,26,RB,11,0.0,0.0,0.0,0.0,0.0,34.0,84.0,0.0,3.0,2.0,26.0,1.0,3.0,0.0,12.0
LeftDi00,Dick Leftridge,PIT,22,RB,4,0.0,0.0,0.0,0.0,0.0,8.0,17.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,11.7
JackJi20,Jim Jackson,SFO,22,RB,10,0.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,1.0,1.0,63.0,1.0,1.0,0.0,11.5
BarnBi00,Billy Ray Barnes,MIN,31,RB,2,0.0,0.0,0.0,0.0,0.0,5.0,16.0,1.0,0.0,1.0,20.0,0.0,0.0,0.0,10.1
SmitBo00,Bobby Smith,PIT,24,RB,8,0.0,0.0,0.0,0.0,0.0,24.0,93.0,0.0,2.0,3.0,26.0,0.0,2.0,0.0,9.4
ThomGe01,Gene Thomas,KAN,24,RB,14,0.0,0.0,0.0,0.0,0.0,7.0,53.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.3
ChesGe00,George Chesser,MIA,24,RB,14,0.0,0.0,0.0,0.0,0.0,16.0,74.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,8.3
McLeBr00,Bruce McLenna,DET,25,RB,9,0.0,0.0,0.0,0.0,0.0,16.0,51.0,0.0,0.0,3.0,13.0,0.0,0.0,0.0,7.9
SmitJ.00,J.D. Smith,DAL,34,RB,14,0.0,0.0,0.0,0.0,0.0,7.0,7.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,7.5
ScalCh00,Charlie Scales,ATL,28,RB,5,0.0,0.0,0.0,0.0,0.0,10.0,38.0,0.0,0.0,3.0,16.0,0.0,0.0,0.0,6.9
RectRo00,Ron Rector,2TM,22,RB,10,0.0,0.0,0.0,0.0,0.0,9.0,40.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,5.9
ShivRo00,Roy Shivers,STL,25,RB,13,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,3.0,5.0,81.0,0.0,3.0,0.0,5.1
